id,code,description,created_at,updated_at
3,users_destroy,"Delete users","2015-03-23 00:00:00","2015-03-23 00:00:00"
4,users_update,"Update users","2015-03-23 00:00:00","2015-03-23 00:00:00"
7,roles_create,"Add role","2015-03-23 00:00:00","2015-03-23 00:00:00"
8,roles_store,"Add role","2015-03-23 00:00:00","2015-03-23 00:00:00"
9,roles_edit,"Edit role","2015-03-23 00:00:00","2015-03-23 00:00:00"
10,roles_destroy,"Delete role","2015-03-23 00:00:00","2015-03-23 00:00:00"
11,roles_update,"Update role","2015-03-23 00:00:00","2015-03-23 00:00:00"
12,roles_index,"List roles","2015-03-23 00:00:00","2015-03-23 00:00:00"
13,roles_permissions_edit,"Update role","2015-03-23 00:00:00","2015-03-23 00:00:00"
14,roles_permissions_update,"Update role","2015-03-23 00:00:00","2015-03-23 00:00:00"
15,shops_create,"Add shop","2015-03-23 00:00:00","2015-03-23 00:00:00"
16,shops_edit,"Edit shop","2015-03-23 00:00:00","2015-03-23 00:00:00"
17,shops_destroy,"Delete shop","2015-03-23 00:00:00","2015-03-23 00:00:00"
18,shops_update,"Update shop","2015-03-23 00:00:00","2015-03-23 00:00:00"
19,shops_store,"Update shop","2015-03-23 00:00:00","2015-03-23 00:00:00"
20,shops_index,"List shops","2015-03-23 00:00:00","2015-03-23 00:00:00"
21,descriptors_create,"Add Descriptor","2015-03-23 00:00:00","2015-03-23 00:00:00"
22,descriptors_edit,"Edit Descriptor","2015-03-23 00:00:00","2015-03-23 00:00:00"
23,descriptors_destroy,"Delete Descriptor","2015-03-23 00:00:00","2015-03-23 00:00:00"
24,descriptors_update,"Update Descriptor","2015-03-23 00:00:00","2015-03-23 00:00:00"
25,descriptors_store,"Update Descriptor","2015-03-23 00:00:00","2015-03-23 00:00:00"
26,descriptors_index,"List Descriptors","2015-03-23 00:00:00","2015-03-23 00:00:00"
27,descriptorsTypes_create,"Add Descriptor type","2015-03-23 00:00:00","2015-03-23 00:00:00"
28,descriptorsTypes_edit,"Edit Descriptor type","2015-03-23 00:00:00","2015-03-23 00:00:00"
29,descriptorsTypes_destroy,"Delete Descriptor type","2015-03-23 00:00:00","2015-03-23 00:00:00"
30,descriptorsTypes_update,"Update Descriptor type","2015-03-23 00:00:00","2015-03-23 00:00:00"
31,descriptorsTypes_store,"Update Descriptor type","2015-03-23 00:00:00","2015-03-23 00:00:00"
32,descriptorsTypes_index,"List Descriptor types","2015-03-23 00:00:00","2015-03-23 00:00:00"
33,products_create,"Add product","2015-03-23 00:00:00","2015-03-23 00:00:00"
35,products_destroy,"Delete product","2015-03-23 00:00:00","2015-03-23 00:00:00"
36,products_update,"Update product","2015-03-23 00:00:00","2015-03-23 00:00:00"
37,products_store,"Update product","2015-03-23 00:00:00","2015-03-23 00:00:00"
38,products_index,"List products","2015-03-23 00:00:00","2015-03-23 00:00:00"
39,purchases_create,"Add purchase","2015-03-23 00:00:00","2015-03-23 00:00:00"
40,purchases_edit,"Edit purchase","2015-03-23 00:00:00","2015-03-23 00:00:00"
41,purchases_destroy,"Delete purchase","2015-03-23 00:00:00","2015-03-23 00:00:00"
42,purchases_update,"Update purchase","2015-03-23 00:00:00","2015-03-23 00:00:00"
43,purchases_store,"Update purchase","2015-03-23 00:00:00","2015-03-23 00:00:00"
44,purchases_index,"List purchases","2015-03-23 00:00:00","2015-03-23 00:00:00"
34,products_edit,"Edit product","2015-03-23 00:00:00","2015-04-15 23:43:51"
1,home_dashboard,"Add users","2015-03-23 00:00:00","2015-04-15 23:47:40"
6,products_types_index,"List users","2015-03-23 00:00:00","2015-04-16 03:30:14"
2,products_types_create,"Edit users","2015-03-23 00:00:00","2015-04-16 03:32:03"
5,products_types_store,"Save created user","2015-03-23 00:00:00","2015-04-16 03:32:31"
45,products_types_edit,"Edit products types","2015-04-21 20:29:18","2015-04-21 20:29:18"
46,products_types_update,"Update products types","2015-04-21 20:30:44","2015-04-21 20:30:44"
