migration,batch
2014_06_26_220312_add_users_table,1
2014_07_01_161841_add_actions_table,1
2014_07_01_184934_add_roles_table,1
2014_07_01_185205_add_roles_actions_table,1
2015_03_11_231325_add_shops_table,1
2015_03_11_231419_add_products_purchases_table,1
2015_03_14_153216_add_descriptors_table,1
2015_03_16_162324_add_products,1
2015_03_16_174734_add_products_descriptors_table,1
2015_03_16_203922_add_descriptors_type,1
2015_03_18_221632_add_purchases_table,1
2015_04_11_215338_add_remember_token_to_users_table,1
2015_04_15_190124_add_product_type_to_products,1
2015_04_15_190416_add_products_types_table,1
2015_04_15_211221_add_updated_created_products_types,1
2015_04_16_231604_add_reference_mark_purchase_table,1
